comprimento,largura,insumo,qtd_insumo,unidade,area,figura
34,34,Herbicida,376.42,kg,907.9224,3
26,26,Inseticida,334.02,L,530.9304,3
27,9,Fosfato,291.42,L,121.5,2
10,10,Pulverizar 500 mL/metro,313.38,mL,78.53999999999999,3
30,30,Pulverizar 500 mL/metro,295.49,g,706.86,3
16,7,Inseticida,122.49,mL,56.0,2
17,17,Herbicida,219.96,mL,144.5,2
20,31,Inseticida,380.56,mL,310.0,2
46,46,Herbicida,171.06,g,1661.9064,3
26,10,Nitrogênio,130.57,mL,130.0,2
30,50,Inseticida,130.97,mL,750.0,2
18,18,Pulverizar 500 mL/metro,294.64,kg,254.46959999999999,3
22,50,Potássio,432.37,mL,1100,1
28,38,Fosfato,467.18,mL,532.0,2
22,22,Nitrogênio,305.64,mL,380.1336,3
5,47,Potássio,105.2,g,235,1
28,28,Inseticida,261.32,mL,392.0,2
42,40,Herbicida,248.41,L,840.0,2
24,24,Nitrogênio,185.21,kg,452.3904,3
30,45,Inseticida,64.39,kg,1350,1
