raio,comprimento,largura,insumo,qtd_insumo,unidade,area,figura
21,42,42,Potássio,97.03,mL,1385.4456,3
16,32,32,Fosfato,10.04,L,804.2496,3
,25,12,Fosfato,26.63,mL,150.0,2
,27,17,Potássio,249.74,mL,459,1
20,40,40,Inseticida,156.34,g,1256.6399999999999,3
,8,26,Fosfato,437.17,mL,208,1
,10,31,Fosfato,440.78,g,310,1
4,8,8,Herbicida,435.52,mL,50.2656,3
,17,38,Potássio,391.56,L,323.0,2
24,48,48,Potássio,71.26,kg,1809.5616,3
3,6,6,Nitrogênio,161.26,g,28.2744,3
,45,42,Herbicida,498.05,L,945.0,2
,6,7,Inseticida,35.24,g,21.0,2
,50,37,Nitrogênio,226.64,kg,1850,1
,42,29,Pulverizar 500 mL/metro,396.97,g,609.0,2
,25,46,Fosfato,171.51,mL,1150,1
,14,43,Inseticida,256.73,kg,301.0,2
,47,41,Inseticida,186.25,g,963.5,2
5,10,10,Nitrogênio,209.48,L,78.53999999999999,3
,6,13,Pulverizar 500 mL/metro,18.82,mL,78,1
